 "tabcon", table of the Hertzian creep-force law (con93)
 Delft University of Technology
 Author: J.J. Kalker

   7     0   433         0     0   itab,idl,idr,il,ir
aob,upsx,upsy,phi  Fx,Fy,aM with  si=0.28,N=1,c=1,Ga=1.

   0    0 a/b   upsx       upsy       phi          Fx          Fy         aM
   .3120E-09   .7113E-16  -.4004E-16
   .1363E-07   .1155       .7978    
  -.1814E-07   .1737       .9394    
   .4001E-07   .1969       .9705    
  -.2352E-07   .2126       .9871    
  -.1344E-07   .2160       .9986    
  -.7270E-08   .2030       1.003    
  -.1666E-07   .1884       1.007    
  -.1362E-07   .1653E-01   1.025    
  -.8855E-08   .5109E-01   1.024    
  -.1238E-07   .8272E-01   1.022    
  -.1052E-07   .1107       1.019    
  -.1854E-07   .1350       1.016    
  -.1362E-07   .1558       1.013    
  -.1049E-07   .1734       1.010    
  -.6165E-08   .1884       1.007    
   .3120E-09  -.3360E-16   .2692E-17
  -.2697E-07  -.1155      -.7978    
  -.1625E-07  -.1737      -.9394    
   .1551E-07  -.1969      -.9705    
   .2300E-07  -.2126      -.9871    
   .1317E-07  -.2160      -.9986    
   .7208E-08  -.2030      -1.003    
   .1667E-07  -.1884      -1.007    
   .1361E-07  -.1653E-01  -1.025    
   .8855E-08  -.5109E-01  -1.024    
   .1239E-07  -.8272E-01  -1.022    
   .1053E-07  -.1107      -1.019    
   .1856E-07  -.1350      -1.016    
   .1364E-07  -.1558      -1.013    
   .1052E-07  -.1734      -1.010    
   .6197E-08  -.1884      -1.007    
   0   32 a/b   upsx       upsy       phi          Fx          Fy         aM
  -.7218E-07   .3998      -.6266E-01
   .1215E-07   .4259       .7362    
  -.1635E-07   .4121       .8953    
  -.2152E-07   .3894       .9385    
  -.1461E-07   .3687       .9624    
  -.8180E-08   .3369       .9751    
  -.1117E-07   .3072       .9835    
  -.1127E-07   .2821       .9901    
  -.1361E-07   .1653E-01   1.025    
  -.7908E-08   .6809E-01   1.023    
  -.1174E-07   .1158       1.019    
  -.7417E-08   .1585       1.014    
  -.1547E-07   .1961       1.008    
  -.1432E-07   .2288       1.002    
  -.1596E-07   .2572       .9960    
  -.8770E-08   .2821       .9901    
  -.5465E-08   .3998      -.6266E-01
  -.5370E-07   .2093      -.8052    
  -.6370E-08   .8625E-01  -.9524    
  -.2570E-08   .1676E-01  -.9837    
  -.1554E-08  -.3116E-01  -.9979    
   .1568E-07  -.6735E-01  -1.010    
   .2245E-07  -.8310E-01  -1.016    
   .8976E-08  -.8350E-01  -1.017    
   .1361E-07  -.1653E-01  -1.025    
   .1013E-07  -.3402E-01  -1.024    
   .5050E-08  -.4909E-01  -1.023    
   .1509E-07  -.6133E-01  -1.022    
   .1758E-07  -.7069E-01  -1.021    
   .8268E-08  -.7733E-01  -1.020    
   .1283E-07  -.8149E-01  -1.018    
   .1758E-07  -.8350E-01  -1.017    
   0   64 a/b   upsx       upsy       phi          Fx          Fy         aM
   .4772E-07   .6894      -.7756E-01
   .3182E-07   .6731       .6499    
  -.3642E-08   .6002       .8316    
  -.7852E-08   .5384       .8940    
  -.4885E-08   .4805       .9257    
  -.5858E-08   .4333       .9452    
  -.7735E-08   .3953       .9591    
  -.5832E-08   .3633       .9695    
  -.1361E-07   .1653E-01   1.025    
